1 PB26 TCLK0 D22 -
2 PA9 UTXD D1 TX
3 PA10 RXD0 D19 RX1
4 PA11 TXD0 D18 TX1
5 PA12 RXD1 D17 RX2
6 PA13 TXD1 D16 TX2
7 PA14 RTS1 D23 -
8 PA15 CTS1 D24 -
9 PA17 TWD0 D71 SCL1
10 VDDCORE1 - - VDDOUT
11 VDDIO1 - - 3V3
12 GND1 - - GND
13 PD0 - D25 -
14 PD1 - D26 -
15 PD2 - D27 -
16 PD3 - D28 -
17 PD4 TXD3 D14 TXD0
18 PD5 RXD3 D15 RXD0
19 PD6 PWMF12 D29 -
20 PD7 TIOA8 D11 PWM11
21 PD8 TIOB8 D12 PWM12
22 PD9 TCLK8 D30 -
23 PA0 CANTX0 D69 CANTX
24 PA1 CANRX0 D68 CANRX
25 PA5 TIOA2 - EEXTINT
26 PA7 TCLK2 D31 -
27 PA8 URXD D0 RX
28 PB28 - - -
29 PB29 - - -
30 PB30 - - -
31 PB31 - - -
32 PD10 - D32 -
33 GNDPLL - - GND
34 VDDPLL - - VDDPLL
35 XOUT - - XOUT
36 XIN - - XIN
37 DHSDP - - D+
38 DHSDM - - D-
39 VBUS - - XUSB
40 VBG - - VBG
41 VDDUTMI - - VDDOUTMI
42 DFSDP - - -
43 DFSDM - - -
44 GNDUTMI - - GND
45 VDDCORE2 - - VDDOUT
46 JTAGSEL - - GND
47 NRSTB - - MASTER-RESET
48 XIN32 - - XIN32
49 XOUT32 - - XOUT32
50 SHDN - - NC
51 TST - - -
52 VDDBU - - 3V3
53 FWUP - - -
54 GNDBU - - GND
55 PC1 - D33 -
56 VDDOUT - - VDDOUT
57 VDDIN - - 3V3
58 GND2 - - GND
59 PC2 PWML0 D34 -
60 PC3 PWMH0 D35 -
61 VDDCORE3 - - VDDOUT
62 VDDIO2 - - 3V3
63 PC5 PWMH1 D37 -
64 PC6 PWML2 D38 -
65 PC7 PWMH2 D39 -
66 PC8 PWML3 D40 -
67 PC9 PWMH3 D41 -
68 PB27 TIOB0 D13 PWM13
69 NRST - - NC
70 PA18 TWCX0 D70 SDA1
71 PA19 PWMH1 D42 -
72 PA20 PWML2 D43 -
73 VDDANA - - VDDANA
74 GNDANA - - GND
75 ADVREF - - AVREF
76 PB15 DAC0 D66 DAC0
77 PB16 DAC1 D67 DAC1
78 PA16 SPCK1 AD7 D54 A0
79 PA24 AD6 D55 A1
80 PA23 AD5 D56 A2
81 PA22 AD4 D57 A3
82 PA6 TIOB2 AD3 D58 A4
83 PA4 TCLK1 AD2 D59 A5
84 PA3 TIOB1 AD1 D60 A6
85 PA2 TIOA1 AD0 D61 A7
86 PB12 - - -
87 PB13 - - -
88 PB17 AD10 D62 A8
89 PB18 AD11 D63 A9
90 PB19 AD12 D64 A10
91 PB20 AD13 D65 A11
92 PB21 AD14 D52 SPI-CS2
93 PC11 - - NC
94 PC12 - D51 -
95 PC13 - D50 -
96 PC14 - D49 -
97 PC15 - D48 -
98 PC16 - D47 -
99 PC17 - D46 -
100 PC18 PWMH6 D45 -
101 PC19 PWMH5 D44 -
102 PC29 PA28 TIOB7 D10 D77 PWM10
103 PC30 TCLK7 D72 RXL
104 VDDCORE4 - - VDDOUT
105 VDDIO3 - - 3V3
106 GND3 - - GND
107 PA21 PWML0 D73 TXL
108 PA25 SPI0_MISO - MISO
109 PA26 SPI0_MOSI - MOSI
110 PA27 SPI0_SPCK - SCK
111 PA28 - - -
112 PA29 - - -
113 PB0 - - -
114 PB1 - - -
115 PB2 - - -
116 PC4 PWML1 D36 -
117 PC10 - - NC
118 PB3 - - -
119 PB4 - - -
120 PB5 - - -
121 PB6 - - -
122 PB7 - - -
123 PB8 - - -
124 VDDCORE5 - - VDDOUT
125 VDDIO4 - - 3V3
126 GND4 - - GND
127 PB9 - - -
128 PB10 - - -
129 PB11 - - -
130 PC0 Erase - -
131 PC20 PWMH4 - NC
132 PC21 PWML4 D9 PWM9
133 PC22 PWML5 D8 PWM8
134 PC23 PWML6 D7 PWM7
135 PC24 PWML7 D6 PWM6
136 PC25 TIOA6 D5 PWM5
137 PC26 PA29 TIOB6 D4 D87 PWM4
138 PC27 TCLK6 - NC
139 PC28 TIOA7 D3 PWM3
140 PB14 PWMH2 D53 -
141 PB22 - - -
142 PB23 - - -
143 PB24 - - -
144 PB25 - - -
